Name,Source,TF,CF,"Majestic BL","Majestic RD","Majestic Topics","Majestic Languages","Site Languages","Moz DA","Moz PA",Age,"SZ Redirects","SZ Parked","SZ Active History","SZ Score","SZ Drops","Google Index","SEM Traffic","SEM Rank","SEM Keywords","Out Links Internal","Out Links External","Out Domains External","Date Added",Price,Expires
footprintexhibits.com,"Namejet PreRelease",21,15,156,32,"Business: 21","English: 100%","English: 100%",15,32,21,40,0,18,8,0,1,0,0,0,0,0,0,12/21/2025,$29,"12/23/2025 20:00:00"
roadjunkyfilms.com,"Namecheap Auctions",15,17,401,175,"Arts/Online Writing: 15
Home/Gardening: 7","English: 83.6%
Finnish: 11.9%
French: 2.1%
Korean: 1.5%
German: 0.6%","English: 100%",13,23,15,9,0,13,8,0,1,0,0,0,0,2,2,12/19/2025,$15,"01/02/2026 15:00:00"
neosplice.com,"GoDaddy Auctions",17,17,236,175,"Computers/Software/Editors: 16
Shopping/Toys and Games: 15
Science/Social Sciences: 12
Society/People: 11
Society/Issues: 10
Recreation/Humor: 9
Arts/Literature: 7
Computers: 7","English: 72.3%
German: 14.8%
Latin: 4.2%
French: 3.1%
Arabic: 2.1%
Italian: 1%
Russian: 1%
Spanish: 1%","English: 100%",20,27,26,1,3,20,8,0,0,0,0,0,0,2,1,12/20/2025,$1,"12/30/2025 19:28:00"
gatorhomes.com,"GoDaddy Auctions",21,13,33,28,"Business/Real Estate: 21","English: 88.8%
Japanese: 7.4%
Russian: 3.7%","English: 100%",22,30,25,13,0,22,9,0,1,0,20810334,4,1,3,2,12/12/2025,$1,"12/22/2025 18:09:00"
debrajofondren.com,"Namejet PreRelease",9,21,448,396,"Sports/Soccer: 9
Sports/Organizations: 8
Sports/Running: 7","English: 100%","English: 100%",19,25,21,0,0,18,9,0,1,0,22459292,3,1,0,0,12/17/2025,$59,"12/22/2025 19:00:00"
realestatetaxappeals.net,"Namejet PreRelease",25,18,150,146,"Business: 25","English: 100%","English: 100%",11,27,20,1,0,17,9,1,0,0,0,0,1,6,6,12/18/2025,$79,"12/24/2025 04:00:00"
access-commerce.com,"Dynadot Expired",13,16,302,165,"Computers/Software/Software Engineering: 13
Computers/Internet: 10
Computers/Software/Configuration Management: 8","English: 51.6%
French: 38.7%
Spanish: 6.4%
Russian: 3.2%","English: 100%",25,23,26,93,4,23,10,1,1,0,0,0,0,4,1,12/15/2025,$7.99,"12/22/2025 19:06:35"
kazaap.com,"Namecheap Auctions",12,18,51,33,"Society/Ethnicity: 11
Computers/Hardware: 11","English: 85.3%
Malay: 7.3%
Arabic: 4.8%
Spanish: 2.4%","English: 100%",12,25,25,0,0,16,10,1,3,0,35340979,1,9,0,0,12/16/2025,$15,"12/30/2025 15:00:00"
theperformanceleader.com,SEO.Domains,9,28,719,60,"Society/Politics: 8
Society/People: 8
Computers/Internet/On the Web: 7
News/Weblogs: 6
Society/Issues: 5
Sports/Golf: 4
Arts/Online Writing: 4
Arts/Literature: 4
Society/Advice: 4
Arts/Architecture: 4","English: 81.1%
Romanian: 13.9%
Polish: 1.6%
Spanish: 1.1%
Greek: 0.6%
Russian: 0.5%
Hungarian: 0.3%
Thai: 0.3%
French: 0.1%","English: 100%",24,35,23,103,0,21,11,1,2,0,0,0,7,0,0,11/10/2025,$560,
kimsarkrescue.org,"Namecheap Auctions",19,12,71,27,"Recreation/Pets: 19
Games/Roleplaying: 9","English: 86.9%
German: 7.2%
Arabic: 5.7%","English: 100%",18,23,22,0,7,12,11,1,1,0,0,0,0,1,1,12/21/2025,$1,"12/26/2025 16:00:00"
leeindy.com,"GoDaddy Auctions",19,18,8427,79,"Computers/Hardware: 19","English: 97.3%
Indonesian: 1.4%
French: 0.6%
Japanese: 0.2%","English: 92.1%
Indonesian: 7.8%",32,28,23,2,0,15,11,0,1,0,37382295,1,2,2,1,12/14/2025,$1,"12/24/2025 17:03:00"
kingsinnseattle.com,"DropCatch Private Seller",20,26,191,160,"Shopping/Holidays: 20
Computers/Internet: 10","English: 97.6%
Arabic: 1.1%
Spanish: 1.1%","English: 100%",18,31,26,19,0,24,11,1,1,1,11907074,28,1,1,1,12/17/2025,$59,"12/24/2025 21:19:15"
mobyinthemorning.com,"Pending Delete",6,15,118,96,"Business/Arts and Entertainment: 6
Society/Religion and Spirituality: 6
Society/Government: 5
Society/Politics: 5
Recreation/Humor: 5
Recreation/Outdoors: 3
Computers/Multimedia: 3","English: 100%","English: 100%",23,28,27,14,0,25,11,1,,0,0,0,0,1,1,12/18/2025,,"12/22/2025 17:45:00"
alzheimer-ottawa-rc.org,"Namecheap Auctions",22,14,46,30,"Health/Conditions and Diseases: 22","English: 96.2%
French: 3.7%","English: 100%",20,21,17,25,0,13,11,1,1,0,0,0,0,1,1,12/20/2025,$15,"01/03/2026 15:00:00"
musicimprint.com,"Gname Buy It Now",8,15,252,157,"Society/Politics: 8
Society/Issues: 4
Society/History: 4
News/Weblogs: 4","English: 98.5%
German: 1.4%","English: 100%",18,29,14,5,0,12,12,1,0,0,0,0,0,1,1,12/21/2025,$288,
wildernesslakesrv.com,"GoDaddy Auctions",22,17,63,40,"Recreation/Outdoors: 22
Business/Textiles and Nonwovens: 12
Recreation/Autos: 11
Business: 10","English: 100%","English: 100%",20,32,22,26,0,16,12,0,1,168,2900558,382,5,12,2,12/15/2025,$20,"12/25/2025 16:50:00"
ajoyofgranite.com,"GoDaddy Auctions",16,15,31,27,"Business/Industrial Goods and Services: 16","English: 85.1%
Arabic: 14.8%","English: 100%",15,29,16,12,0,13,12,0,2,0,14827862,20,3,1,1,12/18/2025,$1,"12/28/2025 16:18:00"
centralpark-newyorkcity.com,"GoDaddy Closeouts",21,22,217,144,"Sports/Cycling: 21
Shopping/Jewelry: 9","English: 100%","English: 100%",15,26,11,10,0,9,12,1,1,0,0,0,3,0,0,12/18/2025,$11,"12/23/2025 18:05:00"
iradioforum.net,"GoDaddy Auctions",13,15,755,60,"Society/People: 13","English: 97%
Arabic: 1%
Dutch: 0.8%
German: 0.4%
Spanish: 0.2%
Swedish: 0.2%
Czech: 0.1%","English: 100%",15,32,16,10,0,13,12,0,,0,0,0,0,1,1,12/19/2025,$1,"12/28/2025 17:54:00"
missouricivilwar.net,"Expired Domains - Register Now!",7,16,380,176,"Recreation: 7
Recreation/Boating: 4","English: 100%","English: 100%",16,26,16,2,0,14,13,1,0,0,0,0,0,0,0,10/25/2025,,"10/29/2025 17:45:00"
podmailing.com,SEO.Domains,12,27,167,77,"Society/People: 11
Computers/Software/Directories: 7
Computers/Systems: 6
Computers/News and Media: 6
Computers/Shopping: 5","English: 55.3%
French: 20%
Japanese: 4.6%
Spanish: 4.6%
Russian: 4%
Portuguese: 2.6%
Chinese: 2%
Italian: 2%
Arabic: 1.3%
Czech: 0.6%","English: 95.2%
French: 4.7%",40,30,19,79,0,17,13,1,10,0,0,0,4,0,0,11/10/2025,$1880,
consulteducatetreat.com,"GoDaddy Closeouts",13,14,13587,42,"Shopping/Health: 13","English: 100%","English: 100%",10,26,14,7,0,12,13,0,0,0,0,0,1,0,0,12/18/2025,$11,"12/23/2025 21:05:00"
nrmpconference.org,"GoDaddy Auctions",13,14,92,28,"Health/Medicine: 13","English: 97.6%
Arabic: 2.3%","English: 100%",14,26,10,0,0,8,13,0,10,88,3873415,50,9,5,5,12/20/2025,$1,"12/31/2025 19:11:00"
nice-entity.com,SEO.Domains,16,29,111,46,"Computers/News and Media: 16","English: 70%
Chinese: 14.5%
Spanish: 9%
German: 5.4%
Portuguese: 0.9%","English: 96.7%
Greek: 3.2%",29,33,16,17,3,14,14,1,8,0,0,0,12,0,0,11/10/2025,$375,
context-05.org,SEO.Domains,12,21,67,26,"Science/Math: 12
Computers/Human-Computer Interaction: 12
Recreation/Food: 9","English: 98.4%
German: 1.5%","English: 100%",26,25,21,23,3,19,14,1,7,0,0,0,1,0,0,11/10/2025,$650,
barnesnet.net,"Namecheap Auctions",16,15,143,34,"Arts/Visual Arts: 15
Business: 15
Arts/Music: 10
Society/Issues: 8","English: 98.9%
German: 1%","English: 100%",10,22,20,10,0,15,14,1,2,0,0,0,0,0,0,12/09/2025,$15,"12/23/2025 15:00:00"
srpba.com,"DropCatch PreRelease",11,15,154,143,"Society/Government: 11
Home/Gardening: 10
Arts: 7
Regional/Europe: 7
Business/Transportation and Logistics: 5","English: 100%","English: 100%",28,25,21,15,1,16,14,1,0,0,0,0,0,2,1,12/15/2025,$13,"12/24/2025 21:17:57"
tilehouserotary.org,"Expired Domains - Register Now!",7,14,148,96,"Society: 7
Society/Organizations: 5
Recreation: 5
Arts/Music: 5
Regional/Europe: 3","English: 100%","English: 100%",12,24,20,21,0,17,15,1,0,0,0,0,5,7,4,07/05/2025,,"07/09/2025 12:15:00"
indytrax.com,"Namecheap Auctions",9,19,47,25,"Sports/Motorsports: 9
Regional/Europe: 4
Business/Marketing and Advertising: 4
Recreation/Motorcycles: 3","English: 52.6%
Arabic: 23.6%
German: 10.5%
Spanish: 7.8%
Japanese: 5.2%","English: 100%",10,20,27,1,4,21,15,0,1,0,0,0,1,0,0,12/21/2025,$2,"01/10/2026 16:00:00"
ingetang.com,"Gname Auctions",8,13,119,30,"Arts/Visual Arts: 8","English: 70.5%
Chinese: 10.5%
French: 6.3%
Spanish: 6.3%
Dutch: 4.2%
Norwegian: 2.1%","English: 100%",22,25,17,0,0,15,15,1,1,0,0,0,0,1,1,12/21/2025,$13,"12/22/2025 19:59:26"
garryhoyt.com,"Namejet PreRelease",11,16,111,32,"Recreation/Boating: 11
Science/Environment: 8
Recreation: 7
Reference/Maps: 6
Recreation/Outdoors: 6
News/Weather: 5
Regional/North America: 5
Recreation/Travel: 5","English: 95.2%
Romanian: 2.8%
German: 0.9%
Swedish: 0.9%","English: 100%",23,25,24,0,0,17,15,0,25,11,7723175,5,18,0,0,12/21/2025,$69,"12/22/2025 20:00:00"
kfischer-brown.com,"Sav.com Auctions",5,12,102,34,"Recreation/Pets: 5
Arts/Literature: 3
Arts/Writers Resources: 2","English: 94.5%
Arabic: 4.3%
Spanish: 1%","English: 100%",12,22,22,0,4,19,15,1,1,0,0,0,0,1,1,12/19/2025,,"12/29/2025 17:16:25"
williamstonconsulting.com,"GoDaddy Auctions",16,14,44,41,"Computers/Internet: 16
Society/Ethnicity: 12","English: 100%","English: 100%",10,25,18,1,0,11,16,0,10,0,0,0,14,5,4,12/15/2025,$1,"12/25/2025 19:59:00"
chiangmaielephants.com,"Pending Delete",6,15,45,27,"Business/Real Estate: 6","English: 83.7%
French: 5.4%
Persian: 5.4%
German: 2.7%
Thai: 2.7%","English: 100%",10,26,16,1,0,14,16,1,,0,33775840,1,0,1,1,12/21/2025,,"12/25/2025 17:45:00"
schijf.org,SEO.Domains,10,17,440,41,"Computers/Hardware: 10
Computers/News and Media: 4","English: 60.2%
German: 30.1%
Russian: 6.6%
Italian: 0.6%
Spanish: 0.6%
Swedish: 0.6%
Dutch: 0.5%
Hungarian: 0.1%
Polish: 0.1%","English: 100%",24,25,20,27,0,14,17,1,1,0,0,0,1,0,0,11/10/2025,$400,
hh2022.org,SEO.Domains,8,12,37,25,"Science/Technology: 8
Science/Physics: 5","English: 92.5%
German: 5%
Japanese: 2.5%","English: 100%",18,24,7,7,0,5,18,1,1,0,0,0,0,1,1,11/10/2025,$650,
caroleebeckham.com,"Namecheap Auctions",9,19,455,212,"Business/Real Estate: 9
Business/Financial Services: 8
Business/Business Services: 7
Games/Video Games/Simulation: 5
Arts/Performing Arts: 5
Regional/Europe: 5
Business/Transportation and Logistics: 5
Arts/Art History: 4
Recreation/Travel: 4
Regional/North America: 4","English: 95%
Russian: 2.5%
French: 1.2%
Dutch: 0.6%
Italian: 0.6%","English: 100%",21,29,13,20,0,11,18,0,0,0,0,0,0,0,0,12/10/2025,$15,"12/24/2025 15:00:00"
dogloveit.com,"GoDaddy Auctions",8,16,318,180,"Computers/Internet/Web Design and Development: 8
Arts/Comics: 5","English: 90.6%
Russian: 6.9%
Indonesian: 2.3%","English: 100%",14,30,11,21,0,9,18,0,0,0,0,0,0,0,0,12/14/2025,$1,"12/24/2025 16:14:00"
rantplaces.com,"Dynadot Expired",6,17,536,159,"Recreation/Scouting: 6","English: 99.8%
Spanish: 0.1%","English: 100%",31,32,10,27,0,8,18,1,1,0,0,0,0,4,1,12/19/2025,$7.99,"12/26/2025 19:31:28"
bepeatery.com,"Namejet PreRelease",11,16,280,170,"Recreation/Travel: 11
Business: 10
Society/Philanthropy: 8
Arts/Music: 6
Society/People: 5
Society/Law: 5","English: 95.9%
Somali: 2%
Spanish: 2%","English: 100%",20,28,8,14,0,6,18,0,0,0,0,0,0,0,0,12/21/2025,$39,"12/24/2025 20:45:00"
sbardellaorchards.com,"Expired Domains - Register Now!",5,9,200,137,"Society: 5
Business: 5","English: 100%","English: 100%",14,18,14,0,0,12,19,1,1,0,0,0,7,1,1,10/21/2025,,"10/25/2025 17:45:00"
dreamlords.com,"Namesilo Auctions",8,24,425,89,"Computers/Internet: 7
Games/Video Games/Shooter: 7
Games/Video Games/Multiplayer: 6
Computers/Internet/Searching: 6
Games/Video Games/Roleplaying: 5
Games/Video Games/Cheats and Hints: 5
Arts/Photography: 5
Computers/Internet/Web Design and Development: 4","English: 57.4%
Japanese: 11.7%
Russian: 10.4%
German: 4.7%
Czech: 2.7%
Finnish: 2.7%
Greek: 2%
Polish: 1.6%
French: 1.4%
Spanish: 1.4%","English: 100%",40,29,24,91,0,13,19,1,0,0,0,0,15,0,0,12/19/2025,,"12/24/2025 07:00:00"
counterpoint.com,Atom,12,22,540,268,"Science/Environment: 12
Arts/Literature: 9
Society/Politics: 9
Reference/Libraries: 9
Society/Government: 8
Society/Issues: 8
News/Museums and Archives: 8
Society/Law: 8
Arts/Comics: 7
Home/Homeowners: 7","English: 86.3%
Spanish: 11%
Chinese: 1.5%
Korean: 0.5%
Persian: 0.5%","English: 100%",30,33,28,97,0,10,19,0,1,13,7307163,24,0,1,1,12/19/2025,$449495,
theimbreport.com,SEO.Domains,8,15,246,151,"Business/Financial Services: 8
Society/Issues: 6
Society/Politics: 4","English: 99.7%
Italian: 0.2%","English: 100%",29,31,16,5,0,12,20,1,1,0,0,0,0,1,1,11/10/2025,$1500,
micmrc.org,"GoDaddy Closeouts",5,16,181,154,"Health/Medicine: 4
Health/Dentistry: 4
Society/Genealogy: 3
Society/Lifestyle Choices: 3
Health/Addictions: 3
Health: 2","English: 91.2%
Arabic: 3.5%
Persian: 3.5%
Romanian: 1.7%","English: 100%",28,31,12,23,0,10,20,1,1,0,0,0,1,4,1,12/20/2025,$40,"12/25/2025 16:00:00"
